club name,club description,club sponsor,club email,club recognition_year
Alpha Chi Omega,Women's Social Fraternity,"Affiliated Student Organization, Center for Fraternity & Sorority Life",AlphaChiOmega.clubs@oregonstate.edu,Recognized For: 2023/2024
Alpha Epsilon Pi,International Fraternity dedicated towards furthering Jewish values on campus.,"Affiliated Student Organization, Center for Fraternity & Sorority Life",AlphaEpsilonPi.clubs@oregonstate.edu,Recognized For: 2023/2024
Alpha Gamma Delta,Phi Chapter of the international women's fraternity of Alpha Gamma Delta.,"Affiliated Student Organization, Center for Fraternity & Sorority Life",AlphaGammaDelta.clubs@oregonstate.edu,Recognized For: 2023/2024
Alpha Gamma Rho,Fraternity,"Affiliated Student Organization, Center for Fraternity & Sorority Life",AlphaGammaRho.clubs@oregonstate.edu,Recognized For: 2023/2024
Alpha Kappa Psi,The world's oldest and largest co-ed professional business fraternity that centers on teaching professionalism and leadership. Open to all majors.,Sponsored Student Organization sponsored by College of Business,akpsi.clubs@oregonstate.edu,Recognized For: 2021/2022
Alpha Omicron Pi,"Alpha Omicron Pi was founded in 1897 at Barnard College and the Alpha Rho chapter at Oregon State University was founded in 1926. Alpha Omicron Pi was founded on a promise to serve not only one another but the greater community as well. This commitment reflects a philosophy of friendship, concern, and usefulness in the world. The promise to serve can be seen in the relationships within a collegiate or alumnae chapter as they work together to help a sister or as they contribute to the AOII Foundation to enable scholarships and aid to other members. In addition, AOIIs exhibit their commitment to be servant leaders as they participate in a project that raises funds for AOII’s philanthropy, arthritis research and the American Juvenile Arthritis Organization.","Affiliated Student Organization, Center for Fraternity & Sorority Life",alphaomicronpi.clubs@oregonstate.edu,Recognized For: 2023/2024
Alpha Phi,"We are a sisterhood of outstanding women supporting each other in life long achievement. We accomplish this mission through the cultivation of three ideals that Alpha Phis hold above all else: Sisterhood, Scholarship and Service.","Affiliated Student Organization, Center for Fraternity & Sorority Life",alphaphi.clubs@oregonstate.edu,Recognized For: 2023/2024
Alpha Phi Alpha Fraternity Inc.,"Alpha Phi Alpha Fraternity, Inc. develops leaders, promotes brotherhood and academic excellence while providing service and advocacy for our communities. Alpha Phi Alpha Fraternity Inc. objectives are to stimulate the ambition of its members, to prepare them for the greatest usefulness in the causes of humanity, freedom, and dignity of the individual, to encourage the highest and noblest form of manhood, to aid downtrodden humanity in its efforts to achieve higher social, economic and intellectual status.","Affiliated Student Organization, Center for Fraternity & Sorority Life",AlphaPhiAlpha.clubs@oregonstate.edu,Recognized For: 2023/2024
Alpha Pi Mu,Alpha Pi Mu is the Honors Society for students of Industrial and Manufacturing Engineering.,"Voluntary Student Organization, Student Experiences & Engagement",AlphaPiMu.clubs@oregonstate.edu,Recognized For: 2023/2024
Alpha Sigma Phi,Greek organization striving to better the world by bettering men,"Affiliated Student Organization, Center for Fraternity & Sorority Life",alphasigmaphi.clubs@oregonstate.edu,Recognized For: 2023/2024
Alpha Tau Omega Fraternity,"To bind men together in a brotherhood based upon eternal and immutable principles, with a bond as strong as right itself and as lasting as humanity; to know no North, no South, no East, no West, but to know man as man, to teach that true men should stand together and contend for supremacy of good over evil; to teach, not politics, but morals, to foster, not partisanship, but the recognition of true merit wherever found; to have no narrower limits within which to work together for the elevation of man than the outlines of the world: these were the thoughts and hopes uppermost in the minds of the founders of the Alpha Tau Omega Fraternity.
Otis Allan Glazebrook
1880","Affiliated Student Organization, Center for Fraternity & Sorority Life",alphatauomega.clubs@oregonstate.edu,Recognized For: 2023/2024
Alzheimer's Buddies,The purpose of this organization is to connect students with individuals with Alzheimer's. Creating these mutualistic relationships helps alleviate social isolation and improve the emotional well-being of the buddy.,"Voluntary Student Organization, Student Experiences & Engagement",alzbuddies.clubs@oregonstate.edu,Recognized For: 2023/2024
Amateur Radio Club,"An association of persons commonly interested in amateur radio and associated with Oregon State University. Whether you are interested in amateur radio as a hobby, a means of communication during emergencies, or a gateway to technological exploration, the Amateur Radio Club is the perfect place to be.",Sponsored Student Organization sponsored by Electrical Engineering and Computer Science,amateurradio.clubs@oregonstate.edu,Recognized For: 2023/2024
"American Association of Textile Chemists and Colorists, Student Chapter","The purpose of the Chapter is to provide opportunities for networking with professionals in the field, as well as with peers, and to provide
advance to objects of the American Association of Textile Chemists and Colorists (AATCC) at Oregon State University.",Sponsored Student Organization sponsored by College of Business,appareldesign.clubs@oregonstate.edu,Recognized For: 2023/2024
American Indian Science and Engineering Society,"The Chapter is formed to advance the objectives of the American Indian Science and Engineering Society; hereafter called the Society, in its own geographical location, which are as follows: To nurture the building of community by bridging science and technology with traditional native values. Through its educational programs, AISES provides opportunities for other academic arenas. The trained professionals then become technologically informed leaders within the Indian community. AISES' ultimate goal is to be a catalyst for the advancement of American Indians as they seek to become self-reliant and self-determined members of society.","Voluntary Student Organization, Student Experiences & Engagement",AISES.clubs@oregonstate.edu,Recognized For: 2023/2024
"American Institute of Aeronautics and Astronautics, OSU",`OSU AIAA is a student branch under the American Institute of Aeronautics and Astronautics. The purpose of the organization is to promote research and education in the design and implementation of various aerospace engineering disciplines. Our student organization seeks to compete with other colleges and universities in engineering and design competitions. OSU AIAA is also a conduit through which companies can connect with the university by bringing in guest speakers from the professional industry and encouraging student tours of their facilities.,"Department Student Organization, College of Engineering",aeronauticsclub@oregonstate.edu,Recognized For: 2023/2024
American Institution of Steel Construction,"The preamble to the Charter of the Oregon State University American Institute of Steel Construction (AISC) Student Club: A group of undergraduate and/or graduate students who convene to exchange steel-related knowledge, engage in educational activities, and network with peers and industry representatives.","Voluntary Student Organization, Student Experiences & Engagement",AISC.clubs@oregonstate.edu,Recognized For: 2023/2024
"American Meteorological Society, Student Chapter of the","Primary objectives of the organization shall be to foster the growth of atmospheric and meteorology interests through research, education and outreach by providing the community with a social and scientific point of contact for atmospheric related science.","Voluntary Student Organization, Student Experiences & Engagement",AMETSociety.clubs@oregonstate.edu,Recognized For: 2023/2024
American Nuclear Society / Health Physics Society,Professional Society for Nuclear Science and Engineering Students and students interested in the topic of nuclear science. .,Sponsored Student Organization sponsored by Nuclear Science and Engineering,AmericanNuclearSociety.clubs@oregonstate.edu,Recognized For: 2023/2024
American Sign Language Club at Oregon State University,"American Sign Language Club at Oregon State University strives (1) to give students the opportunity to socialize in American Sign Language in a relaxed setting, (2) to promote exchanges between students studying American Sign Language, (3) to strengthen the confidence of students in their ability to sign in American Sign Language by exposing them to other American Sign Language users, (4) to provide American Sign Language based activities which will develop creative skills, story telling skills, and strengthen friendships and (5) to spread awareness of American Sign Language and the Deaf culture.","Voluntary Student Organization, Student Experiences & Engagement",AmericanSignLanguage.clubs@oregonstate.edu,Recognized For: 2023/2024
American Society for Photogrammetry and Remote Sensing,"ASPRS Student Chapter at OSU is a group of students dedicated to studying remote sensing, geomatics, and GIS.  The student chapter is supported by the Cascadia Region professional ASPRS Chapter.","Voluntary Student Organization, Student Experiences & Engagement",Photogrammety.clubs@oregonstate.edu,Recognized For: 2023/2024
American Society of Civil Engineers,"The OSU Student Chapter of ASCE organizes a wide range of activities including speaker meetings, field trips, community service projects, and participates in competitive projects, such as the concrete canoe, and steel bridge contests. These activities are excellent opportunities to gain hands-on experience and build relationships that cannot be found in the classroom. Activities are also meant to be fun and give students a break from typical schoolwork. Many opportunities are provided to begin to build networks with engineering professionals and explore career options in civil engineering.",Sponsored Student Organization sponsored by Civil and Construction Engineering,CivilEngineers.clubs@oregonstate.edu,Recognized For: 2023/2024
"American Society of Heating, Refrigeration and Air-Conditioning Engineers","ASHRAE, founded in 1894, is a global society advancing human well-being through sustainable technology for the built environment. The Society and its members focus on building systems, energy efficiency, indoor air quality, refrigeration and sustainability within the industry. Through research, standards writing, publishing and continuing education, ASHRAE shapes tomorrow’s built environment today.",Sponsored Student Organization sponsored by Civil and Construction Engineering,ASHRAE.clubs@oregonstate.edu,Recognized For: 2023/2024
American Society of Mechanical Engineers,"The OSU student chapter American Society of Mechanical Engineers competes in the Shell Eco-Marathon competition each year. The team works to design, build, and race an ultra-efficient battery electric vehicle. The club also hosts an RC car event as well as Coe-hosts the 3D printed Derby with the 3D printing Club. 

ASME is a not-for-profit membership organization that enables collaboration, knowledge sharing, career enrichment, and skills development across all engineering disciplines, toward a goal of helping the global engineering community develop solutions to benefit lives and livelihoods. Founded in 1880 by a small group of leading industrialists, ASME has grown through the decades to include more than 140,000 members in 151 countries. Thirty-thousand of these members are students.","Sponsored Student Organization sponsored by Mechanical, Industrial, & Manufacturing Engineering",asme.clubs@oregonstate.edu,Recognized For: 2023/2024
"American Society of Safety Professionals, OSU Section",Oregon State University student section of the American Society of Safety Professionals (ASSP).,"Voluntary Student Organization, Student Experiences & Engagement",osuassp.clubs@oregonstate.edu,Recognized For: 2021/2022
Animal and Veterinary Ethics Club,The Animal and Veterinary Ethics Club is an organization for current students of the Oregon State Carlson College of Veterinary Medicine to discuss ethical issues relating to veterinary medicine and veterinary schooling.,"Voluntary Student Organization, Student Experiences & Engagement",AnimalEthics.clubs@oregonstate.edu,Recognized For: 2023/2024
"Anime Club, The","In this club, we will watch anime (aka Japanese animation) and talk about our love for the genre. We will also share recommendations of shows members should watch for their viewing pleasure and learn more about the art form. Additionally, we will discuss the folklore and mannerisms in popular anime.","Voluntary Student Organization, Student Experiences & Engagement",anime.clubs@oregonstate.edu,Recognized For: 2023/2024
Anomaly,"We are an Asian-pop dance team that teaches workshops, films covers and performs at events. No experience necessary!

If you're interested in performing with us, follow our Instagram for updates on auditions.","Voluntary Student Organization, Student Experiences & Engagement",anomoly.clubs@oregonstate.edu,Recognized For: 2023/2024
Anthropology Club,"The Anthropology Club will serve to bring together on-campus and e-campus undergraduate students, graduate students, and faculty who have expressed an interest in Anthropology, such that they might explore the field academically, professionally, and socially.","Voluntary Student Organization, Student Experiences & Engagement",Anthropology.clubs@oregonstate.edu,Recognized For: 2023/2024
App Development Club,"The purpose of the App Development club is to provide education on app development, provide opportunities for students to develop apps, to publish student projects, and to promote and foster an app development community at Oregon State University.",Sponsored Student Organization sponsored by Electrical Engineering and Computer Science,AppDevelopment.clubs@oregonstate.edu,Recognized For: 2023/2024
Applied Economics Academic Bowl Club,"This mission of the Department of Applied Economics SS-AAEA Academic Bowl Team at Oregon State University shall be to:
	1. Enhance student learning in the fields of agricultural and applied economics;
2. Provide students with opportunities to engage with professionals in agricultural and applied economics at regional and national levels;
3. Build synergy between undergraduate students, graduate students, and Applied Economics faculty Oregon State.","Voluntary Student Organization, Student Experiences & Engagement",AcademicBowl.clubs@oregonstate.edu,Recognized For: 2023/2024
Arabinda Kriya Yoga,"The Kriya Yoga Club described here provides an environment where individuals can delve into the ancient teachings of Kriya Yoga, benefiting from its holistic practices. The club appears to offer a comprehensive program that addresses various aspects of well-being:

1. **Mental Wellness:** The club offers tailored yoga practices designed to help individuals manage stress, anxiety, and depression. Through these practices, members can improve their concentration and mood.

2. **Fostering Community:** The club promotes a sense of family where individuals, irrespective of their backgrounds, can connect, bond, and share experiences. This is particularly valuable for combating feelings of isolation and fostering unity.

3. **Physical Well-being:** The yoga sessions at the club not only cater to mental well-being but also emphasize physical health. By ensuring a comfortable and welcoming setting, the club encourages members to maintain good physical health.

4. **Journey of Self-Discovery:** The club supports its members on their personal journeys towards mindfulness, spirituality, self-awareness, and identity affirmation. This aspect of the club helps members understand themselves better and explore their values.

5. **Holistic Wellness Advocacy:** Beyond the physical practice of yoga, the club holds workshops and seminars that emphasize a balanced lifestyle, breath control, and other facets of holistic well-being.

6. **A Quiet Refuge:** Recognizing the hustle and bustle of campus life, the club offers a peaceful space where members can relax, recharge, and reflect.

7. **Diversity and Inclusion:** The club celebrates the rich heritage of Kriya Yoga and advocates for mutual understanding, respect, and appreciation of its cultural significance.

Overall, the Kriya Yoga Club offers a comprehensive approach to well-being, integrating physical, mental, and spiritual practices. It's not just an organization but a journey towards a mindful college experience. Those interested in a holistic approach to their wellness and personal growth would find value in joining this club.","Voluntary Student Organization, Student Experiences & Engagement",arabindakriyayoga.clubs@oregonstate.edu,Recognized For: 2023/2024
Archaeology Club at OSU,"The purpose of Archaeology Club at OSU shall be to foster a community and further the social, educational, and intellectual well-being of OSU undergraduate and graduate students interested in studying past people’s lifeways through their material culture. The Archaeology Club shall: (1) create opportunities for its members to meet regularly, both formally and informally, thus providing an interchange of ideas and information; (2) work to strengthen student networks by connecting students with an interest in archaeology to those with access to resources and knowledge about how academic and professional archaeology is practiced legally and ethically; (3) foster interactions between the University Community and the general public to improve awareness of archaeological practices, motivations, and contributions as well as bring the public’s concerns to the attention of the next generation of archaeologists.","Voluntary Student Organization, Student Experiences & Engagement",Archaeology.clubs@oregonstate.edu,Recognized For: 2023/2024
Archery Club,"The purpose of the O.S.U. Archery Club is to create interest in archery as a recreational activity; promote archery skill development; encourage safety and proper range etiquette, and prepare for competition. Prior archery experience is not required and practice sessions will be held in a cordial, social atmosphere.  The club aligns with the university’s mission by making archery accessible to the O.S.U. community, including students, faculty, staff, and community members. O.S.U. promotes progress in social, cultural, environmental, and wellness endeavors, all of which are exemplified by the sport of archery. The university is committed to outreach and engagement and considers the state of Oregon its campus.  It encourages collaboration with the community, the P-12 school system, and outside organizations.  The O.S.U. Archery Club will also establish collaborations, for example, networking with private archery clubs, sponsoring youth activities, seeking grants from private corporations, and affiliating with national-level archery organizations.","Department Student Organization, Rec Sports/Sport Clubs",archery@oregonstate.edu,Recognized For: 2023/2024
Architectural Engineering Institute at Oregon Student Chapter,Architectural Engineering Institute,Sponsored Student Organization sponsored by Civil and Construction Engineering,ArchitecturalEngineering.clubs@oregonstate.edu,Recognized For: 2023/2024
Artificial Intelligence Club,Encouraging education and providing experiences in the field of artificial intelligence.,Sponsored Student Organization sponsored by Electrical Engineering and Computer Science,ArtificialIntelligence.clubs@oregonstate.edu,Recognized For: 2023/2024
Artificial Intelligence Graduate Student Association,"Connecting and supporting current, former, and affiliated AI graduate students of the School of Electrical Engineering and Computer Science, and any other graduate students working in the space of Artificial Intelligence.",Sponsored Student Organization sponsored by Electrical Engineering and Computer Science,AIGSA.clubs@oregonstate.edu,Recognized For: 2023/2024
Asian Pacific American Student Union,"Asian Pacific American Student Union (APASU) is a student organization based at Oregon State University (OSU). APASU serves as a means for Asian American and/or Native Hawaiian/Pacific Islander (AANHPI) students and others with similar backgrounds or interests within the local community to come together socially, and improve cultural awareness both in and out of the OSU community. We strive to help expand our member's network, campus involvement, and help enhance their college experience. We organize many fun activities throughout the year. Become part of our family today!","Voluntary Student Organization, Student Experiences & Engagement",apasu.clubs@oregonstate.edu,Recognized For: 2023/2024
Associated General Contractors of America Student Chapter,Associated General Contractors of America’s OSU Student Chapter is an organization that aids Civil and Construction Engineering students in establishing contact with leaders in the Construction Industry through frequent events hosted throughout the year.,Sponsored Student Organization sponsored by Civil and Construction Engineering,GeneralContractors.clubs@oregonstate.edu,Recognized For: 2023/2024
Association for Computing Machinery Student Chapter,"ACM at OSU is a computer science community and an officially recognized chapter of the Association for Computing Machinery. Through presentations, workshops, guest speaker events, and competitions, we foster an active and large community of computer science and technology enthusiasts. During weekly meetings–both in-person and online–we discuss a wide range of subjects in computer science, including programming essentials, history, current events, tools, techniques, and more. By competing in national competitive programming competitions, exchanging ideas, and working on projects together, our members form connections and expand their computer science knowledge.",Sponsored Student Organization sponsored by Electrical Engineering and Computer Science,ComputingMachinery.clubs@oregonstate.edu,Recognized For: 2023/2024
Association for Women in Mathematics,"The AWM’s mission is to promote equal opportunity and the equal treatment of women and girls in the mathematical sciences, supporting individuals and institutions as we all work to make a more just and equitable community. Achieving this vision relies on the continued efforts of AWM’s committees and the work that they do. The AWM is governed by an elected Executive Committee, with support from a Board of Advisors. AWM’s bylaws and committee handbooks guide how AWM manages its business, and the Election Lifecycle indicates how nominations and appointments happen for the Executive Committee.","Voluntary Student Organization, Student Experiences & Engagement",awm.clubs@oregonstate.edu,Recognized For: 2023/2024
Association of Asian Veterinary Medical Professionals Student Chapter,"The AAVMP student chapter at Oregon State University, Carlson College of Veterinary Medicine stands:

To foster success for Asian and Pacific Islander (AAPI) and AAPI American veterinary students at Oregon State University by offering support and guidance with consideration of individual cultural backgrounds. 

To provide resources for AAPI veterinary students within the Carlson College of Veterinary Medicine at Oregon State University and the local community. 

To promote and spread awareness about AAPI cultures through events and general meetings for veterinary students at Oregon State University, Carlson College of Veterinary Medicine. 

To unite and support the AAPI veterinary community and to demonstrate our allyship alongside other affinity organizations.","Voluntary Student Organization, Student Experiences & Engagement",AsianVetMed.clubs@oregonstate.edu,Recognized For: 2023/2024
Association of Computing Machinery Women's Chapter,"The goal of ACM-W student chapters is to recruit and retain women students in undergraduate and graduate computing programs. The chapters provide a variety of activities to educate women about the opportunities in the field of computing, engage them in exciting computing activities, connect them with women leaders in the field, and encourage them to promote the field of computing to young girls.",Sponsored Student Organization sponsored by Electrical Engineering and Computer Science,acmw.clubs@oregonstate.edu,Recognized For: 2023/2024
Association of Latin American Students,"The Association of Latin American Students - ALAS embraces citizens from all the countries in Latin America. Furthermore, all incoming students and members of the OSU community interested in Latin American culture are welcome to join ALAS.

Our purpose is to promote the unity of its members around common cultural values while seeking the identification, understanding, and respect of each country’s culture. ALAS also contributes to the cultural richness of Oregon State University, Corvallis, and surrounding communities.","Voluntary Student Organization, Student Experiences & Engagement",ALAS.clubs@oregonstate.edu,Recognized For: 2023/2024
Association of Pre-Physician Assistants,"The Association of Pre-Physician Assistants is a club aimed to provide an inclusive space for individuals who desire to become physician assistants for peer-to-peer mentorship in the areas of academic achievement, personal and professional development, as well as professional and social networking.","Voluntary Student Organization, Student Experiences & Engagement",PrePA.clubs@oregonstate.edu,Recognized For: 2023/2024
Astronomy Club,The Astronomy Club is a student-run organization at Oregon State University to promote astronomy and astronomy-related activities on campus. The club intends to provide a platform for OSU students who share an interest in the diverse disciplines that make up astronomy to come together and further their interests.,Sponsored Student Organization sponsored by Physics,Astronomy.clubs@oregonstate.edu,Recognized For: 2023/2024
Audio Engineering Club,"The mission of the Audio Engineering club at OSU is to demystify the intersection between art and engineering and make it fun and accessible for everyone. We offer our members the opportunity to experience what's involved in the design, prototyping, and realization of a complex modern engineering task, breaking it into easy-to-understand steps for both engineering and non-engineering students. 

We have a strong commitment for the Audio Engineering club to be welcoming to all students, regardless of major or experience level; we believe having a shared project and goal helps to unify both old and new members and forge new and lasting friendships and career-building passions.

Check out our website for previous projects and details: 
https://sites.google.com/oregonstate.edu/osu-aec",Sponsored Student Organization sponsored by College of Engineering,Audioengineering.clubs@oregonstate.edu,Recognized For: 2023/2024
Badminton Club,Badminton Club aims to develop members' skills by providing a suitable atmosphere for training and having fun. The club hosts some of the top collegiate teams and welcomes people of all skill levels. This club also has the capacity to sponsor competitive players to participate in tournaments within and near the state of Oregon.,"Department Student Organization, Rec Sports/Sport Clubs",badminton@oregonstate.edu,Recognized For: 2023/2024
Ballroom Dance Club,"The Ballroom Dance Club (BDC) is a student-run club with a goal to provide dancing and learning opportunities to student members and the Corvallis community. Anyone is welcome at our events, including non-university members.","Index Negative Balance , Student Experiences & Engagement",BallroomDance.clubs@oregonstate.edu,Recognized For: 2023/2024
Bangladesh Student Association at Oregon State University,"The greater purpose of the organization would be student welfare, to promote, and foster the values and culture of Bangladesh amongst the community of Oregon State University (OSU). The main objective of this organization shall be to utilize BSA as an ambassadorial flag for the Bangladeshi students at OSU to increase camaraderie among our peers and within the Bangladeshi community. It will work towards encouraging aspirants from Bangladesh to join OSU, assuring and assisting them for a smooth transition of their pursuit for higher studies at OSU. It will strive to serve as a platform to keep the practice of vibrant Bangladeshi culture and festivals extant among us and to introduce it to the wider OSU community. The way to achieve these purposes include, but are not restricted to, formation and participation of intra-cultural activities, participation in activities and programs that are sponsored by the University and/or other organizations.","Voluntary Student Organization, Student Experiences & Engagement",bsa.clubs@oregonstate.edu,Recognized For: 2023/2024
Baseball Club,"We are a competitive, traveling baseball club designed to offer players the opportunity to continue their baseball career at a higher level. We compete year-round throughout the West Coast and provide a strong practice environment to better individual skills and represent OSU through competition. Through our organization, players have been given the opportunity to continue to play and enjoy the game they love.","Department Student Organization, Rec Sports/Sport Clubs",baseball.club@oregonstate.edu,Recognized For: 2023/2024
Bass Fishing Club,"A. To provide opportunities in the best of the club’s ability to send members to compete in collegiate and national tournaments. 
B. To welcome students of all skill levels to learn, develop, and improve fishing techniques through club hosted tournaments and bi-weekly presentations/practices. 
C. To educate all members the importance of habitat conservation and the respect of all animals when fishing","Department Student Organization, Rec Sports/Sport Clubs",bassfishing@oregonstate.edu,Recognized For: 2023/2024
Beta Alpha Psi,"Founded in 1919, Beta Alpha Psi is an honor organization for financial information students and professionals. There are over 300 chapters on college and university campuses with over 300,000 members initiated since Beta Alpha Psi's formation.",Sponsored Student Organization sponsored by College of Business,BetaAlphaPsi.clubs@oregonstate.edu,Recognized For: 2023/2024
Bicyclist Advocacy,We are organizing as OSU bicyclists so that we have unified and clear agency in evolving sustainable transportation standards. We work to switch the incentive from driving to biking by envisioning and promoting ideas.,"Voluntary Student Organization, Student Experiences & Engagement",BicyclistAdvocacy.clubs@oregonstate.edu,Recognized For: 2023/2024
Biochemistry/Biophysics Club at Oregon State,"The purpose of the Biochemistry Club is to connect undergraduate students with each other and faculty in the department to enrich the undergraduate experience and create a community for those interested in the sciences. Some of our activities include monthly club meetings, weekly study tables, quarterly socials, designing shirts to promote the club, volunteering opportunities, mentoring fellow students, and fundraising events.","Department Student Organization, Student Experiences & Engagement",biochemistrybiophysicsclub@oregonstate.edu,Recognized For: 2023/2024
Bioethics Society at Oregon State University,"Bioethics Society shall serve as a student led, student initiated organization that provides the necessary milieu in which to explore the growing ethical issues brought forth by discoveries in science and advances in technology and medicine. Through education, open discussion, debate, research, and analysis of biology, medicine, biotechnology, philosophy, politics, law, and other pertinent foci, OSUBS shall serve as a medium for the exchange of ideas that affect ethical decision making on our campus and in our world. The Society shall encourage open and stimulating public dialogue that explores the intersections among ethical, political, legal, social, and medical paradigms.","Voluntary Student Organization, Student Experiences & Engagement",BioethicsSociety.clubs@oregonstate.edu,Recognized For: 2023/2024
Biomedical Engineering Society Student Chapter,"The mission of the BMES at the national level is to build and support the biomedical engineering community locally, nationally and internationally with activities designed to communicate recent advances, discoveries and inventions; promote educational and professional development; and integrate the perspectives of the academic, medical, governmental and business sectors. 
The Chapter's mission at Oregon State University is to support the national BMES mission through interdisciplinary collaboration on design team competitions (no experience required), community building and mentorship, professional networking and skill building, and to prepare students to make a difference in the world.","Sponsored Student Organization sponsored by Chemical, Biological & Environmental Engineering",BiomedicalEngineering.clubs@oregonstate.edu,Recognized For: 2023/2024
Bird Nerds,"Our mission at Oregon State University is to provide students with an opportunity to learn more about the amazing world of birds through bird-related activities, speakers, and field trips and to share this knowledge with the Corvallis community through volunteer, education and conservation involvement.","Voluntary Student Organization, Student Experiences & Engagement",BirdNerds.clubs@oregonstate.edu,Recognized For: 2023/2024
Black Graduate Student Association,The BGSA is an organization dedicated to making the Oregon State University (OSU) community aware of and responsive to the needs and concerns of black graduate students. The BGSA serves as a professional and social support body for graduate and undergraduate students. BGSA is particularly concerned with the recruitment and retention of black undergraduates into graduate school.,"Voluntary Student Organization, Student Experiences & Engagement",BlackGrads.clubs@oregonstate.edu,Recognized For: 2023/2024
Black Student Union,"The mission of OSU's BSU is to foster, support, and promote the social, political, and educational growth of black-identifying students. Also, to spread awareness and compassion through the education of our peers and service to our community.","Voluntary Student Organization, Student Experiences & Engagement",BlackStudentUnion.clubs@oregonstate.edu,Recognized For: 2023/2024
Blacksmithing Club at OSU,"We are a group interested in the historic and scientific processes of metallurgy and blacksmithing.  We actively compete in the TMS bladesmithing competition, under the advisement of Dr. Julie Tucker.","Voluntary Student Organization, Student Experiences & Engagement",Blacksmithing.clubs@oregonstate.edu,Recognized For: 2023/2024
Blood Drive Association,"This association aims to organize one blood drive per term, educate the OSU community on the need for donated blood, and recruit OSU living groups for high participation levels during the drives.","Affiliated Student Organization, Student Experiences & Engagement",BloodDriveAssociation.clubs@oregonstate.edu,Recognized For: 2023/2024
Boggle Club,Boggle club is an inclusive club designed to engage with those interested in playing Boggle.,"Voluntary Student Organization, Student Experiences & Engagement",boggle.clubs@oregonstate.edu,Recognized For: 2023/2024
Botany and Plant Pathology Club,Bringing students together to discuss and interact with plants and other sessile organisms.,Sponsored Student Organization sponsored by Botany and Plant Pathology,Botany.clubs@oregonstate.edu,Recognized For: 2023/2024
Brain Exercise Initiative at OSU,"We are a 501(c)(3) nonprofit organization that uses simple math, writing and reading aloud exercises as an intervention to improve cognitive function in those with Alzheimer's Disease. We encourage intergenerational collaboration between university students and elders.","Voluntary Student Organization, Student Experiences & Engagement",BrainExercise.clubs@oregonstate.edu,Recognized For: 2023/2024
